prompt;response
Since when Uni Klinger is in business?;Since 1984
How many divisions are under Uni Klinger?;Three divisions Fluid Control, Fluid sealing and Safety and control valve division
 Which product has major contribution in sales?;Piston Valve
How much is  the company's turnover?;NR 160 Crs
What is the turnover of the company?;NR 160 Crs
The turnover of the company is;NR 160 Crs
Can you tell me the turnover?;NR 160 Crs
When was Uni Klinger founded?;Since 1984
What was the founding year of the company?;Since 1984
Since when the company was in the business;Since 1984
When was the company founded?;Since 1984
